都道府県,人口,面積,人口密度
東京都,13636222,2191,6223.74
神奈川県,9145572,2415.92,3785.54
大阪府,8837812,1905.14,4638.93
愛知県,7507691,5172.9,1451.35
埼玉県,7288081,3797.75,1919.05
千葉県,6240408,5157.64,1209.93
兵庫県,5520575,8400.93,657.14
北海道,5352306,78420.77,68.25
福岡県,5106707,4986.4,1024.13
静岡県,3686945,7777.43,474.06
茨城県,2907262,6097.12,476.83
広島県,2838494,8479.47,334.75
京都府,2605731,4612.19,564.97
宮城県,2329431,7282.22,319.88
新潟県,2285856,12584.18,181.65
長野県,2087997,13561.56,153.96
岐阜県,2022785,10621.29,190.45
栃木県,1968425,6408.09,307.18
群馬県,1966381,6362.28,309.07
岡山県,1915401,7114.47,269.23
福島県,1900106,13783.74,137.85
三重県,1807611,5774.41,313.04
熊本県,1774538,7409.44,239.5
鹿児島県,1637073,9186.99,178.19
沖縄県,1439913,2281.14,631.23
滋賀県,1413079,4017.38,351.74
山口県,1393904,6112.34,228.05
愛媛県,1374881,5676.19,242.22
長崎県,1366514,4132.2,330.7
奈良県,1356950,3690.94,367.64
青森県,1293619,9645.56,134.12
岩手県,1268083,15275.01,83.02
大分県,1159634,6340.74,182.89
石川県,1150818,4186.09,274.91
山形県,1113029,9323.15,119.38
宮崎県,1095959,7735.31,141.68
富山県,1061393,4247.61,249.88
秋田県,1009705,11637.52,86.76
香川県,972156,1876.73,518.01
和歌山県,953924,4724.71,201.9
山梨県,829884,4465.27,185.85
佐賀県,828388,2440.68,339.41
福井県,782232,4190.49,186.67
徳島県,750210,4146.79,180.91
高知県,720907,7103.93,101.48
島根県,689817,6708.24,102.83
鳥取県,569579,3507.13,162.41
